Number of Vehicles Stopped,Total Waiting Time of All Vehicles,Total CO2 Emissions Released
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,2584.126254744253
0,0.0,0.0
0,0.0,4403.779471404789
0,0.0,0.0
0,0.0,6184.830501748012
0,0.0,0.0
0,0.0,2178.982666252544
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,3989.440977708678
0,0.0,0.0
0,0.0,2620.911392712448
0,0.0,3107.990645113956
0,0.0,3234.1781789718816
0,0.0,4243.029256210995
0,0.0,9132.887750903907
0,0.0,23718.512153135063
0,0.0,18763.335032892322
0,0.0,3452.8201722998892
0,0.0,17663.150075706886
0,0.0,30834.862214979592
0,0.0,0.0
0,0.0,0.0
0,0.0,2459.214611975223
0,0.0,9769.535852510533
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,2266.2490903119906
0,0.0,4120.089153303396
0,0.0,3978.6179454310927
0,0.0,10774.664735811612
0,0.0,2390.537962433587
0,0.0,5154.681989869429
0,0.0,7296.140609275519
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,22241.64504175416
0,0.0,14371.48943266784
0,0.0,0.0
0,0.0,15420.124523492612
0,0.0,16878.482996874896
0,0.0,0.0
0,0.0,5814.9184229201755
0,0.0,7258.826985819938
0,0.0,2714.3033269928496
0,0.0,9056.685533960122
0,0.0,37277.05898190313
0,0.0,20526.30143459702
0,0.0,2668.4964587940553
0,0.0,15426.457361507126
0,0.0,11404.894761802789
0,0.0,0.0
0,0.0,5757.939957777326
1,1.0,11971.82368488171
1,2.0,9671.03463390299
2,4.0,38717.736942196214
2,6.0,38119.946471265415
3,9.0,24914.48119359996
3,12.0,50910.875529504614
3,15.0,25606.4506175262
3,18.0,41561.37606451565
3,21.0,18135.298088272466
3,24.0,37247.0183917299
3,27.0,11155.471462248885
4,31.0,11137.71149010905
5,36.0,23322.97202869307
5,28.0,24808.005821181665
5,21.0,23800.40355264293
4,14.0,43942.35055770764
4,13.0,36691.59437014312
3,12.0,38161.80660561081
2,10.0,43869.43040488476
1,8.0,38207.20413716547
1,9.0,22088.781768000474
2,11.0,27345.0870085834
2,13.0,26270.81578978043
2,15.0,38688.460397377625
2,17.0,27667.600862330048
2,19.0,35031.47696512374
2,21.0,31721.944254842267
2,23.0,34858.87535301268
2,25.0,34833.93219706727
2,27.0,35695.93738175699
2,29.0,35391.19090750245
2,31.0,8609.166666666666
2,33.0,8609.166666666666
2,35.0,8609.166666666666
2,37.0,8609.166666666666
2,39.0,8609.166666666666
2,41.0,8609.166666666666
2,43.0,8609.166666666666
2,45.0,8609.166666666666
