Number of Vehicles Stopped,Total Waiting Time of All Vehicles,Total CO2 Emissions Released
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,4779.632919602306
0,0.0,1450.16358151824
0,0.0,4403.779471404789
0,0.0,0.0
0,0.0,6184.830501748012
0,0.0,0.0
0,0.0,3143.345860759205
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,4438.969526554832
0,0.0,0.0
0,0.0,2620.911392712448
0,0.0,3107.990645113956
0,0.0,0.0
0,0.0,6406.953847433004
0,0.0,33932.44926979138
0,0.0,21605.902083643152
0,0.0,18706.47253506632
0,0.0,3452.8201722998892
0,0.0,13315.449771709305
0,0.0,33442.04919510451
0,0.0,11092.360299824426
0,0.0,0.0
0,0.0,3293.471528924797
0,0.0,5719.294316149498
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,4571.119792400939
0,0.0,1310.2234743967354
0,0.0,6871.1971619484375
0,0.0,0.0
0,0.0,11012.625376706232
0,0.0,2591.6970301614874
0,0.0,5154.681989869429
0,0.0,7378.916928236075
0,0.0,0.0
0,0.0,0.0
0,0.0,2794.080762320467
0,0.0,2873.7657498996123
0,0.0,0.0
0,0.0,6028.585420841185
0,0.0,0.0
0,0.0,21063.53158657621
0,0.0,36120.10071409768
0,0.0,20225.57178575467
0,0.0,49366.110910273455
0,0.0,0.0
0,0.0,15420.124523492612
0,0.0,20357.245894849148
0,0.0,2418.439445896141
0,0.0,6963.277959460205
0,0.0,6205.959997402946
1,1.0,15429.38046687471
2,3.0,44590.83890901855
2,5.0,14466.698068617692
2,7.0,16725.70885036377
2,9.0,37888.09028062806
2,11.0,46064.35277099996
2,13.0,34013.504272020764
2,15.0,11725.13310021991
2,17.0,12879.881255756716
2,19.0,9378.333333333334
2,21.0,16834.454736066313
2,23.0,9378.333333333334
2,25.0,17850.850461191636
2,27.0,14513.884659793292
2,29.0,13937.773764885304
2,31.0,19333.636924445826
3,34.0,13297.087088188186
3,37.0,20974.34723703234
3,40.0,11375.967439250137
1,19.0,7380.555555555556
0,0.0,12105.853986496682
0,0.0,16076.49993210973
0,0.0,18101.128117582353
1,1.0,20736.9158894702
1,2.0,17779.845071533968
1,3.0,15023.1319743544
2,5.0,15356.609339324168
2,7.0,21074.209430927363
2,9.0,42858.0496042411
2,11.0,11747.343737812196
2,13.0,28098.184861509973
2,15.0,41153.46972611299
2,17.0,12031.11049328404
2,19.0,46212.62059024583
2,21.0,10005.277777777777
2,23.0,12644.193641617729
2,25.0,13076.692950681267
2,27.0,13084.122627843037
2,29.0,10005.277777777777
2,31.0,14375.390574300878
2,33.0,14064.532358563847
2,35.0,10005.277777777777
2,37.0,10005.277777777777
2,39.0,10005.277777777777
2,41.0,10005.277777777777
