Number of Vehicles Stopped,Total Waiting Time of All Vehicles,Total CO2 Emissions Released
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,4779.632919602306
0,0.0,1450.16358151824
0,0.0,4403.779471404789
0,0.0,0.0
0,0.0,6184.830501748012
0,0.0,0.0
0,0.0,2178.982666252544
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,4438.969526554832
0,0.0,0.0
0,0.0,2620.911392712448
0,0.0,3107.990645113956
0,0.0,0.0
0,0.0,6578.893194428139
0,0.0,33769.38423352418
0,0.0,21605.902083643152
0,0.0,18706.47253506632
0,0.0,3452.8201722998892
0,0.0,13315.449771709305
0,0.0,33442.04919510451
0,0.0,11092.360299824426
0,0.0,0.0
0,0.0,3293.471528924797
0,0.0,5719.294316149498
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,4571.119792400939
0,0.0,1310.2234743967354
0,0.0,6871.1971619484375
0,0.0,0.0
0,0.0,11012.625376706232
0,0.0,2591.6970301614874
0,0.0,5154.681989869429
0,0.0,7378.916928236075
0,0.0,0.0
0,0.0,0.0
0,0.0,2794.080762320467
0,0.0,2873.7657498996123
0,0.0,0.0
0,0.0,6028.585420841185
0,0.0,0.0
0,0.0,18008.82551227554
0,0.0,36120.10071409768
0,0.0,16467.074375835247
1,1.0,40525.455672192315
1,2.0,5214.22960497359
1,3.0,29692.54653162512
1,4.0,22981.951649441966
1,5.0,5043.161668118363
1,6.0,9795.686094929342
1,7.0,8828.25844175506
2,9.0,18276.090209704576
3,12.0,47203.873918772355
3,15.0,17084.296801146287
3,18.0,19348.946089534227
3,21.0,40512.553964794824
3,24.0,48689.16039721483
3,27.0,36638.22649424299
3,30.0,14349.855322442132
3,33.0,15504.603477978939
3,36.0,12003.055555555557
3,39.0,19459.176958288535
3,42.0,12003.055555555557
3,45.0,20475.572683413862
3,48.0,17138.606882015512
3,51.0,16562.495987107526
3,54.0,21958.359146668045
4,58.0,15921.809310410408
4,62.0,23599.069459254562
4,66.0,14000.68966147236
4,70.0,14000.823386532848
4,74.0,17822.793101780935
2,43.0,13031.532487127288
2,23.0,21313.6342922701
1,2.0,22684.393342016498
1,3.0,26195.813883340423
1,4.0,19409.431899211468
1,5.0,21253.02676595166
1,6.0,28726.769324250192
1,7.0,48530.0039867953
1,8.0,4696.237126343234
1,9.0,16956.82931189934
2,11.0,2457.3924307880543
2,13.0,2457.3203599352937
2,15.0,5028.663837694461
3,18.0,7022.313525142863
4,22.0,22976.7779530885
5,27.0,17112.836436146434
5,32.0,21262.372438153187
6,38.0,17089.138461066912
6,44.0,17086.506141041224
6,50.0,17085.596893367336
6,56.0,17085.171580097052
6,62.0,17085.1229962879
6,68.0,19061.738615602873
